gene_name,cell_type,ubiquitousness_index,gene_type,organ,sensitivity_human,specificity_human
ACE,Monocytes,0.022,protein-coding gene,Immune system,0.0,0.0259002
FUT4,Monocytes,0.001,protein-coding gene,Immune system,0.0,0.0
ICAM1,Monocytes,0.009,protein-coding gene,Immune system,0.0,0.00600126
SELL,Monocytes,0.035,protein-coding gene,Immune system,0.269231,0.0584334
CD163,Monocytes,0.005,protein-coding gene,Immune system,0.0769231,0.00663298
FCGR1A,Monocytes,0.001,protein-coding gene,Immune system,0.0,0.00379027
FCGR2B,Monocytes,0.031,protein-coding gene,Immune system,0.0,0.00473784
ACP5,Monocytes,0.033,protein-coding gene,Immune system,0.0,0.0183196
MRC1,Monocytes,0.029,protein-coding gene,Immune system,0.0,0.00979154
TNF,Monocytes,0.008,protein-coding gene,Immune system,0.0,0.00126342
PLAU,Monocytes,0.01,protein-coding gene,Immune system,0.153846,0.0429564
GBP1,Monocytes,0.004,protein-coding gene,Immune system,0.384615,0.0224258
OAS1,Monocytes,0.005,protein-coding gene,Immune system,0.692308,0.0161087
IRF7,Monocytes,0.033,protein-coding gene,Immune system,0.538462,0.0243209
PLSCR1,Monocytes,0.023,protein-coding gene,Immune system,0.692308,0.0590651
MX1,Monocytes,0.008,protein-coding gene,Immune system,0.692308,0.0170562
IL1RN,Monocytes,0.013,protein-coding gene,Immune system,0.269231,0.0176879
HLA-DRA,Monocytes,0.039,protein-coding gene,Immune system,0.576923,0.209413
IFIT1,Monocytes,0.015,protein-coding gene,Immune system,0.692308,0.0104232
IDO1,Monocytes,0.003,protein-coding gene,Immune system,0.192308,0.00852811
IFIT3,Monocytes,0.014,protein-coding gene,Immune system,0.692308,0.0164245
TNFSF10,Monocytes,0.014,protein-coding gene,Immune system,0.653846,0.0596968
CXCL10,Monocytes,0.009,protein-coding gene,Immune system,0.461538,0.00631712
S100A9,Monocytes,0.061,protein-coding gene,Immune system,0.576923,0.0994946
S100A8,Monocytes,0.064,protein-coding gene,Immune system,0.384615,0.0773847
S100A4,Monocytes,0.098,protein-coding gene,Immune system,0.5,0.370183
CLEC7A,Monocytes,0.03,protein-coding gene,Immune system,0.269231,0.0448515
CSF3R,Monocytes,0.012,protein-coding gene,Immune system,0.230769,0.0195831
MNDA,Monocytes,0.019,protein-coding gene,Immune system,0.461538,0.0426406
MS4A6A,Monocytes,0.007,protein-coding gene,Immune system,0.346154,0.0375869
ZFP36L2,Monocytes,0.103,protein-coding gene,Immune system,0.384615,0.418509
LTA4H,Monocytes,0.053,protein-coding gene,Immune system,0.153846,0.0735944
CLEC12A,Monocytes,0.009,protein-coding gene,Immune system,0.115385,0.00821226
CD48,Monocytes,0.076,protein-coding gene,Immune system,0.269231,0.114972
PRTN3,Monocytes,0.026,protein-coding gene,Immune system,0.0,0.0113708
FCGR3A,Monocytes,0.006,protein-coding gene,Immune system,0.0384615,0.0353759
VCAN,Monocytes,0.056,protein-coding gene,Immune system,0.307692,0.0950726
IFITM3,Monocytes,0.33,protein-coding gene,Immune system,0.461538,0.419141
FN1,Monocytes,0.091,protein-coding gene,Immune system,0.0769231,0.0994946
ADGRE1,Monocytes,0.033,protein-coding gene,Immune system,0.0,0.000631712
CD44,Monocytes,0.127,protein-coding gene,Immune system,0.5,0.2988
CSF1R,Monocytes,0.064,protein-coding gene,Immune system,0.0,0.0180038
CX3CR1,Monocytes,0.039,protein-coding gene,Immune system,0.0,0.00221099
ITGAL,Monocytes,0.013,protein-coding gene,Immune system,0.0,0.00410613
PECAM1,Monocytes,0.051,protein-coding gene,Immune system,0.0,0.0445357
PTPRC,Monocytes,0.125,protein-coding gene,Immune system,0.615385,0.212887
SPN,Monocytes,0.029,protein-coding gene,Immune system,0.0,0.0511687
PSAP,Monocytes,0.588,protein-coding gene,Immune system,0.615385,0.497473
FCN1,Monocytes,0.007,protein-coding gene,Immune system,0.461538,0.0322173
LYZ,Monocytes,0.008,protein-coding gene,Immune system,,
RHOC,Monocytes,0.205,protein-coding gene,Immune system,,
PILRA,Monocytes,0.016,protein-coding gene,Immune system,,
NFKBIZ,Monocytes,0.08,protein-coding gene,Immune system,,
NAAA,Monocytes,0.025,protein-coding gene,Immune system,,
LY6E,Monocytes,0.345,protein-coding gene,Immune system,,
LYN,Monocytes,0.062,protein-coding gene,Immune system,,
MS4A7,Monocytes,0.027,protein-coding gene,Immune system,,
CEBPB,Monocytes,0.138,protein-coding gene,Immune system,,
CD68,Monocytes,0.063,protein-coding gene,Immune system,,
IFI30,Monocytes,0.078,protein-coding gene,Immune system,,
S100A12,Monocytes,0.003,protein-coding gene,Immune system,,
SERPINA1,Monocytes,0.016,protein-coding gene,Immune system,,
RGS2,Monocytes,0.128,protein-coding gene,Immune system,,
LST1,Monocytes,0.082,protein-coding gene,Immune system,,
SPI1,Monocytes,0.094,protein-coding gene,Immune system,,
TYMP,Monocytes,0.011,protein-coding gene,Immune system,,
CSTA,Monocytes,0.012,protein-coding gene,Immune system,,
FGL2,Monocytes,0.03,protein-coding gene,Immune system,,
PYCARD,Monocytes,0.147,protein-coding gene,Immune system,,
LYST,Monocytes,0.015,protein-coding gene,Immune system,,
CCL3,Monocytes,0.036,protein-coding gene,Immune system,,
IL1B,Monocytes,0.027,protein-coding gene,Immune system,,
CFP,Monocytes,0.035,protein-coding gene,Immune system,,
CD36,Monocytes,0.042,protein-coding gene,Immune system,,
ITGAM,Myeloid-derived suppressor cells,0.025,protein-coding gene,Immune system,0.0,0.00313283
FUT4,Myeloid-derived suppressor cells,0.001,protein-coding gene,Immune system,0.0,0.0
CD33,Myeloid-derived suppressor cells,0.017,protein-coding gene,Immune system,0.0,0.0125313
CEACAM8,Myeloid-derived suppressor cells,0.0,protein-coding gene,Immune system,0.0,0.0
IL4R,Myeloid-derived suppressor cells,0.002,protein-coding gene,Immune system,0.0,0.0103383
CCR2,Myeloid-derived suppressor cells,0.022,protein-coding gene,Immune system,0.0,0.0
CD1D,Myeloid-derived suppressor cells,0.0,protein-coding gene,Immune system,0.0,0.00093985
FCGR3A,Myeloid-derived suppressor cells,0.006,protein-coding gene,Immune system,0.0,0.035401
ICAM1,Myeloid-derived suppressor cells,0.009,protein-coding gene,Immune system,0.0,0.00595238
CD80,Myeloid-derived suppressor cells,0.0,protein-coding gene,Immune system,0.0,0.0
CXCR1,Myeloid-derived suppressor cells,0.0,protein-coding gene,Immune system,0.0,0.0
ADGRE1,Myeloid-derived suppressor cells,0.033,protein-coding gene,Immune system,0.0,0.000626566
S100A9,Myeloid-derived suppressor cells,0.061,protein-coding gene,Immune system,0.0,0.103383
S100A4,Myeloid-derived suppressor cells,0.098,protein-coding gene,Immune system,0.0,0.371241
S100A8,Myeloid-derived suppressor cells,0.064,protein-coding gene,Immune system,0.0,0.0798872
MME,Neutrophils,0.017,protein-coding gene,Immune system,0.0,0.0270525
ITGAM,Neutrophils,0.025,protein-coding gene,Immune system,0.0,0.00314564
ITGAX,Neutrophils,0.007,protein-coding gene,Immune system,0.0,0.0163573
CD14,Neutrophils,0.051,protein-coding gene,Immune system,0.0,0.026738
FUT4,Neutrophils,0.001,protein-coding gene,Immune system,0.0,0.0
FCGR3A,Neutrophils,0.006,protein-coding gene,Immune system,0.0,0.0355458
PECAM1,Neutrophils,0.051,protein-coding gene,Immune system,0.0,0.0443536
CD33,Neutrophils,0.017,protein-coding gene,Immune system,0.0,0.0125826
SELL,Neutrophils,0.035,protein-coding gene,Immune system,0.0,0.0603964
CEACAM8,Neutrophils,0.0,protein-coding gene,Immune system,0.0,0.0
C5AR1,Neutrophils,0.027,protein-coding gene,Immune system,0.0,0.0141554
CXCR1,Neutrophils,0.0,protein-coding gene,Immune system,0.0,0.0
CXCR2,Neutrophils,0.003,protein-coding gene,Immune system,0.0,0.0
JAML,Neutrophils,0.005,protein-coding gene,Immune system,0.0,0.0292545
TLR2,Neutrophils,0.014,protein-coding gene,Immune system,0.0,0.000943693
MYLK,Neutrophils,0.047,protein-coding gene,Immune system,0.0,0.0556779
S100A9,Neutrophils,0.061,protein-coding gene,Immune system,0.307692,0.102548
MPO,Neutrophils,0.023,protein-coding gene,Immune system,1.0,0.0166719
CD24,Neutrophils,0.039,protein-coding gene,Immune system,0.0,0.192828
CEACAM1,Neutrophils,0.024,protein-coding gene,Immune system,0.0,0.0191884
FCGR1A,Neutrophils,0.001,protein-coding gene,Immune system,0.0,0.00377477
CRP,Neutrophils,0.002,protein-coding gene,Immune system,0.0,0.0044039
LCN2,Neutrophils,0.043,protein-coding gene,Immune system,0.0,0.0569361
DEFA1,Neutrophils,0.0,protein-coding gene,Immune system,0.0,0.0
DEFA3,Neutrophils,0.002,protein-coding gene,Immune system,0.0,0.0
LTF,Neutrophils,0.016,protein-coding gene,Immune system,0.0,0.00629129
LYZ,Neutrophils,0.008,protein-coding gene,Immune system,0.615385,0.0383768
ELANE,Neutrophils,0.019,protein-coding gene,Immune system,1.0,0.00629129
S100A8,Neutrophils,0.064,protein-coding gene,Immune system,0.538462,0.078012
IL1B,Neutrophils,0.027,protein-coding gene,Immune system,0.0,0.0254797
CXCL2,Neutrophils,0.041,protein-coding gene,Immune system,0.0,0.0569361
HP,Neutrophils,0.044,protein-coding gene,Immune system,0.0,0.0251651
CCL3,Neutrophils,0.036,protein-coding gene,Immune system,0.0,0.00786411
HDC,Neutrophils,0.019,protein-coding gene,Immune system,0.0,0.00157282
MMP8,Neutrophils,0.004,protein-coding gene,Immune system,0.0,0.0
LRG1,Neutrophils,0.026,protein-coding gene,Immune system,0.0,0.00346021
OSM,Neutrophils,0.007,protein-coding gene,Immune system,0.0,0.0
MMP9,Neutrophils,0.015,protein-coding gene,Immune system,0.0,0.00975149
PILRA,Neutrophils,0.016,protein-coding gene,Immune system,0.0,0.01447
CLEC4D,Neutrophils,0.007,protein-coding gene,Immune system,0.0,0.0
CLEC4E,Neutrophils,0.006,protein-coding gene,Immune system,0.0,0.00251651
ASPRV1,Neutrophils,0.001,protein-coding gene,Immune system,0.0,0.0
CCRL2,Neutrophils,0.018,protein-coding gene,Immune system,0.0,0.00157282
CCR1,Neutrophils,0.014,protein-coding gene,Immune system,0.0,0.00534759
NCF1,Neutrophils,0.038,protein-coding gene,Immune system,0.0,0.0
TREM1,Neutrophils,0.003,protein-coding gene,Immune system,0.0,0.00125826
SORL1,Neutrophils,0.034,protein-coding gene,Immune system,0.0,0.012268
ARG2,Neutrophils,0.001,protein-coding gene,Immune system,0.0,0.000314564
BST1,Neutrophils,0.008,protein-coding gene,Immune system,0.0,0.00629129
IL1R2,Neutrophils,0.007,protein-coding gene,Immune system,0.0,0.00723498
CFP,Neutrophils,0.035,protein-coding gene,Immune system,0.0,0.0355458
ADAM8,Neutrophils,0.01,protein-coding gene,Immune system,0.0,0.00566216
CD177,Neutrophils,0.011,protein-coding gene,Immune system,0.0,0.00377477
PTGS2,Neutrophils,0.009,protein-coding gene,Immune system,0.0,0.0138408
OAS3,Neutrophils,0.003,protein-coding gene,Immune system,0.0,0.00817867
PRTN3,Neutrophils,0.026,protein-coding gene,Immune system,1.0,0.00723498
AZU1,Neutrophils,0.002,protein-coding gene,Immune system,1.0,0.0088078
CTSG,Neutrophils,0.017,protein-coding gene,Immune system,1.0,0.00912237
SERPINB1,Neutrophils,0.029,protein-coding gene,Immune system,1.0,0.155709
CAMP,Neutrophils,0.022,protein-coding gene,Immune system,0.0,0.000314564
SLC1A5,Neutrophils,0.038,protein-coding gene,Immune system,0.0,0.0465555
SNX20,Neutrophils,0.02,protein-coding gene,Immune system,0.0,0.00125826
ADPGK,Neutrophils,0.015,protein-coding gene,Immune system,0.0,0.0103806
PSTPIP1,Neutrophils,0.014,protein-coding gene,Immune system,0.0,0.00251651
LYST,Neutrophils,0.015,protein-coding gene,Immune system,0.0769231,0.0320856
DOCK8,Neutrophils,0.015,protein-coding gene,Immune system,0.0,0.0160428
S100A4,Neutrophils,0.098,protein-coding gene,Immune system,0.692308,0.369928
NLRP3,Neutrophils,0.004,protein-coding gene,Immune system,0.0,0.000943693
CSF3R,Neutrophils,0.012,protein-coding gene,Immune system,0.230769,0.0204467
SLC6A6,Osteoblasts,0.102,protein-coding gene,Bone,0.0,0.000626566
VDR,Osteoblasts,0.011,protein-coding gene,Bone,0.0,0.00250627
LRP4,Osteoblasts,0.046,protein-coding gene,Bone,0.0,0.0
EGFL6,Osteoblasts,0.01,protein-coding gene,Bone,0.0,0.00814536
MMP13,Osteoblasts,0.003,protein-coding gene,Bone,0.0,0.0
GPER1,Osteoblasts,0.01,protein-coding gene,Bone,0.0,0.00156642
RUNX2,Osteoblasts,0.008,protein-coding gene,Bone,0.0,0.00877193
NF2,Osteoblasts,0.016,protein-coding gene,Bone,0.0,0.0441729
LRP5,Osteoblasts,0.003,protein-coding gene,Bone,0.0,0.00313283
PHEX,Osteoblasts,0.001,protein-coding gene,Bone,0.0,0.000626566
HIF1A,Osteoblasts,0.089,protein-coding gene,Bone,0.0,0.101817
C5AR1,Osteoblasts,0.027,protein-coding gene,Bone,0.0,0.0140977
CXCL12,Osteoblasts,0.07,protein-coding gene,Bone,0.0,0.0269424
COL1A1,Osteoblasts,0.081,protein-coding gene,Bone,0.0,0.0999373
PLCD4,Osteoblasts,0.004,protein-coding gene,Bone,0.0,0.0
FOXO1,Osteoblasts,0.022,protein-coding gene,Bone,0.0,0.0075188
SOCS3,Osteoblasts,0.081,protein-coding gene,Bone,0.0,0.0942982
IL33,Osteoblasts,0.018,protein-coding gene,Bone,0.0,0.0106516
MAGED1,Osteoblasts,0.334,protein-coding gene,Bone,0.0,0.0845865
PARD6G,Osteoblasts,0.018,protein-coding gene,Bone,0.0,0.000313283
CD44,Osteoblasts,0.127,protein-coding gene,Bone,0.0,0.300439
NLRP3,Osteoblasts,0.004,protein-coding gene,Bone,0.0,0.00093985
ALPL,Osteoblasts,0.009,protein-coding gene,Bone,0.0,0.00407268
TNFSF11,Osteoblasts,0.001,protein-coding gene,Bone,0.0,0.000313283
CCL11,Osteoblasts,0.008,protein-coding gene,Bone,0.0,0.00313283
SPP1,Osteoblasts,0.057,protein-coding gene,Bone,0.0,0.0532581
FAS,Osteoblasts,0.011,protein-coding gene,Bone,0.0,0.0147243
TNFRSF10A,Osteoblasts,0.001,protein-coding gene,Bone,0.0,0.00469925
WNT5A,Osteoblasts,0.015,protein-coding gene,Bone,0.0,0.00814536
CX3CL1,Osteoblasts,0.033,protein-coding gene,Bone,0.0,0.0056391
F2R,Osteoblasts,0.036,protein-coding gene,Bone,0.0,0.0338346
PTH1R,Osteoblasts,0.019,protein-coding gene,Bone,0.0,0.00501253
ITGA2,Osteoblasts,0.01,protein-coding gene,Bone,0.0,0.0451128
ITGA5,Osteoblasts,0.016,protein-coding gene,Bone,0.0,0.0184837
NOD1,Osteoblasts,0.0,protein-coding gene,Bone,0.0,0.0
NOD2,Osteoblasts,0.0,protein-coding gene,Bone,0.0,0.0
THY1,Osteoblasts,0.095,protein-coding gene,Bone,0.0,0.0322682
ESR1,Osteoblasts,0.004,protein-coding gene,Bone,0.0,0.00093985
CYP27B1,Osteoblasts,0.0,protein-coding gene,Bone,0.0,0.0
P2RX4,Osteoblasts,0.025,protein-coding gene,Bone,0.0,0.0131579
P2RX5,Osteoblasts,0.0,protein-coding gene,Bone,0.0,0.0018797
INSR,Osteoblasts,0.022,protein-coding gene,Bone,0.0,0.0632832
EFNB2,Osteoblasts,0.016,protein-coding gene,Bone,0.0,0.0291353
EPHB4,Osteoblasts,0.009,protein-coding gene,Bone,0.0,0.0103383
VCAM1,Osteoblasts,0.041,protein-coding gene,Bone,0.0,0.00720551
FGFR1,Osteoblasts,0.072,protein-coding gene,Bone,0.0,0.0588972
FGFR2,Osteoblasts,0.034,protein-coding gene,Bone,0.0,0.0156642
BGLAP,Osteoblasts,0.005,protein-coding gene,Bone,0.0,0.0
TLR5,Osteoblasts,0.0,protein-coding gene,Bone,0.0,0.0
CALB1,Osteoblasts,0.019,protein-coding gene,Bone,0.0,0.00125313
COL11A1,Osteoblasts,0.009,protein-coding gene,Bone,0.0,0.00971178
COL11A2,Osteoblasts,0.005,protein-coding gene,Bone,0.0,0.00281955
IBSP,Osteoblasts,0.006,protein-coding gene,Bone,0.0,0.0
POSTN,Osteoblasts,0.033,protein-coding gene,Bone,0.0,0.023183
SFRP4,Osteoblasts,0.006,protein-coding gene,Bone,0.0,0.00720551
BMP1,Osteoblasts,0.024,protein-coding gene,Bone,0.0,0.0100251
OLFML2B,Osteoblasts,0.011,protein-coding gene,Bone,0.0,0.00971178
COL12A1,Osteoblasts,0.013,protein-coding gene,Bone,0.0,0.0056391
WISP2,Osteoblasts,0.005,protein-coding gene,Bone,0.0,0.00657895
SP7,Osteoblasts,0.001,protein-coding gene,Bone,0.0,0.0
PENK,Osteoblasts,0.02,protein-coding gene,Bone,0.0,0.0275689
NPNT,Osteoblasts,0.017,protein-coding gene,Bone,0.0,0.00908521
OLFML1,Osteoblasts,0.002,protein-coding gene,Bone,0.0,0.0
SDC1,Plasma cells,0.046,protein-coding gene,Immune system,0.555556,0.0405577
IRF4,Plasma cells,0.003,protein-coding gene,Immune system,0.0,0.00855513
CD38,Plasma cells,0.016,protein-coding gene,Immune system,0.5,0.00855513
PRDM1,Plasma cells,0.005,protein-coding gene,Immune system,0.25,0.0174271
CD93,Plasma cells,0.044,protein-coding gene,Immune system,0.0,0.0193283
CD27,Plasma cells,0.018,protein-coding gene,Immune system,0.722222,0.0148923
ENPP1,Plasma cells,0.005,protein-coding gene,Immune system,0.0,0.0114068
KLF4,Plasma cells,0.126,protein-coding gene,Immune system,0.0833333,0.139417
MS4A4A,Plasma cells,0.002,protein-coding gene,Immune system,0.0,0.00760456
PIAS1,Plasma cells,0.018,protein-coding gene,Immune system,0.0,0.0307351
CYCS,Plasma cells,0.38,protein-coding gene,Immune system,0.777778,0.504119
DIABLO,Plasma cells,0.026,protein-coding gene,Immune system,0.0,0.0
HTRA2,Plasma cells,0.001,protein-coding gene,Immune system,0.0,0.000316857
MS4A1,Plasma cells,0.014,protein-coding gene,Immune system,0.0,0.0205957
CD9,Plasma cells,0.344,protein-coding gene,Immune system,0.277778,0.270913
CD19,Plasma cells,0.007,protein-coding gene,Immune system,0.0,0.00792142
CD24,Plasma cells,0.039,protein-coding gene,Immune system,0.0,0.194233
CD37,Plasma cells,0.116,protein-coding gene,Immune system,0.111111,0.217047
CD40,Plasma cells,0.012,protein-coding gene,Immune system,0.0,0.013308
CD74,Plasma cells,0.169,protein-coding gene,Immune system,0.972222,0.356781
CXCR4,Plasma cells,0.04,protein-coding gene,Immune system,0.361111,0.196451
GZMB,Plasma cells,0.017,protein-coding gene,Immune system,0.0,0.0611534
TNFRSF17,Plasma cells,0.005,protein-coding gene,Immune system,0.777778,0.00126743
TNFRSF13B,Plasma cells,0.016,protein-coding gene,Immune system,0.305556,0.00190114
FCGR2B,Plasma cells,0.031,protein-coding gene,Immune system,0.0277778,0.004436
CCR10,Plasma cells,0.002,protein-coding gene,Immune system,0.166667,0.00095057
ABCB9,Plasma cells,0.002,protein-coding gene,Immune system,0.0277778,0.000316857
AMPD1,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.0
ANGPT4,Plasma cells,0.001,protein-coding gene,Immune system,0.0,0.0
ATXN8OS,Plasma cells,0.0,non-coding RNA,Immune system,0.0,0.0
C11ORF80,Plasma cells,0.002,protein-coding gene,Immune system,0.0,0.01109
CD79A,Plasma cells,0.024,protein-coding gene,Immune system,0.75,0.0351711
DENND5B,Plasma cells,0.013,protein-coding gene,Immune system,0.0,0.00602028
EAF2,Plasma cells,0.009,protein-coding gene,Immune system,0.638889,0.0237643
FCRL2,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.0
GNG7,Plasma cells,0.009,protein-coding gene,Immune system,0.555556,0.019962
GPR25,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.0
GUSBP11,Plasma cells,0.0,pseudogene,Immune system,0.0,0.0
HIST1H2AE,Plasma cells,0.02,protein-coding gene,Immune system,0.0,0.000633714
HIST1H2BG,Plasma cells,0.002,protein-coding gene,Immune system,0.0277778,0.00792142
HLA-DOB,Plasma cells,0.001,protein-coding gene,Immune system,0.0555556,0.004436
IGHD,Plasma cells,0.008,other,Immune system,0.0,0.00887199
IGHE,Plasma cells,0.0,other,Immune system,0.0,0.000316857
IGHM,Plasma cells,0.078,other,Immune system,0.277778,0.0525982
IGKC,Plasma cells,0.072,other,Immune system,1.0,0.153359
IGLL3P,Plasma cells,0.0,pseudogene,Immune system,0.0,0.0
KCNA3,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.0
KCNG2,Plasma cells,0.003,protein-coding gene,Immune system,0.0,0.0
LIME1,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.0
MAN1A1,Plasma cells,0.004,protein-coding gene,Immune system,0.0,0.0218631
MANEA,Plasma cells,0.002,protein-coding gene,Immune system,0.0,0.00126743
MAST1,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.0
MROH7,Plasma cells,0.002,protein-coding gene,Immune system,0.0,0.0107731
MZB1,Plasma cells,0.025,protein-coding gene,Immune system,0.972222,0.0275665
P2RX5,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.00190114
PAX7,Plasma cells,0.001,protein-coding gene,Immune system,0.0,0.00095057
PDK1,Plasma cells,0.015,protein-coding gene,Immune system,0.333333,0.0129911
PNOC,Plasma cells,0.009,protein-coding gene,Immune system,0.0277778,0.000633714
RASGRP3,Plasma cells,0.025,protein-coding gene,Immune system,0.166667,0.00760456
REN,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.002218
RGS13,Plasma cells,0.003,protein-coding gene,Immune system,0.0,0.00475285
RPL3P7,Plasma cells,0.003,pseudogene,Immune system,0.0,0.0186945
SIK1,Plasma cells,0.029,protein-coding gene,Immune system,0.0,0.0
SPAG4,Plasma cells,0.005,protein-coding gene,Immune system,0.305556,0.01109
ST6GALNAC4,Plasma cells,0.014,protein-coding gene,Immune system,0.111111,0.0190114
TGM5,Plasma cells,0.001,protein-coding gene,Immune system,0.0,0.0
TMEM156,Plasma cells,0.001,protein-coding gene,Immune system,0.166667,0.00316857
UGT2B17,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.0
ZBP1,Plasma cells,0.015,protein-coding gene,Immune system,0.166667,0.00538657
ZNF165,Plasma cells,0.003,protein-coding gene,Immune system,0.0,0.0171103
IGLC2,Plasma cells,0.022,other,Immune system,0.833333,0.0361217
IGHG1,Plasma cells,0.006,other,Immune system,0.638889,0.01109
IGHG2,Plasma cells,0.002,other,Immune system,0.583333,0.00316857
IGHG3,Plasma cells,0.005,other,Immune system,0.611111,0.00823828
IGHGP,Plasma cells,0.003,other,Immune system,0.555556,0.00887199
IGLC3,Plasma cells,0.02,other,Immune system,0.722222,0.0186945
JCHAIN,Plasma cells,0.017,protein-coding gene,Immune system,0.833333,0.0405577
IGHA1,Plasma cells,0.013,other,Immune system,0.861111,0.0605196
IGHG4,Plasma cells,0.002,other,Immune system,0.555556,0.00602028
IGHA2,Plasma cells,0.003,other,Immune system,0.611111,0.00602028
IGLV3-1,Plasma cells,0.0,other,Immune system,0.222222,0.000316857
IGLC7,Plasma cells,0.0,other,Immune system,0.138889,0.0
SSR4,Plasma cells,0.51,protein-coding gene,Immune system,1.0,0.657161
IL16,Plasma cells,0.014,protein-coding gene,Immune system,0.0,0.0095057
BHLHA15,Plasma cells,0.0,protein-coding gene,Immune system,0.0,0.0
PPIB,Plasma cells,0.016,protein-coding gene,Immune system,0.0,0.00697085
CD4,Plasmacytoid dendritic cells,0.009,protein-coding gene,Immune system,0.272727,0.0170347
CD8A,Plasmacytoid dendritic cells,0.01,protein-coding gene,Immune system,0.0,0.0160883
CD40,Plasmacytoid dendritic cells,0.012,protein-coding gene,Immune system,0.0,0.0132492
CD80,Plasmacytoid dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.0
CD83,Plasmacytoid dendritic cells,0.045,protein-coding gene,Immune system,0.0,0.0388013
LILRA4,Plasmacytoid dendritic cells,0.001,protein-coding gene,Immune system,1.0,0.00189274
CD86,Plasmacytoid dendritic cells,0.026,protein-coding gene,Immune system,0.0,0.0123028
IL3RA,Plasmacytoid dendritic cells,0.008,protein-coding gene,Immune system,0.0,0.0
CCR7,Plasmacytoid dendritic cells,0.016,protein-coding gene,Immune system,0.0,0.0422713
CLEC4C,Plasmacytoid dendritic cells,0.001,protein-coding gene,Immune system,0.409091,0.000315457
CXCR3,Plasmacytoid dendritic cells,0.005,protein-coding gene,Immune system,0.0454545,0.00504732
TRADD,Plasmacytoid dendritic cells,0.015,protein-coding gene,Immune system,0.0454545,0.0268139
ARHGAP9,Plasmacytoid dendritic cells,0.023,protein-coding gene,Immune system,0.136364,0.0236593
LAMP5,Plasmacytoid dendritic cells,0.005,protein-coding gene,Immune system,0.0909091,0.0022082
GPR183,Plasmacytoid dendritic cells,0.019,protein-coding gene,Immune system,0.772727,0.0438486
MAP3K2,Plasmacytoid dendritic cells,0.009,protein-coding gene,Immune system,0.227273,0.0205047
TNFSF13B,Plasmacytoid dendritic cells,0.011,protein-coding gene,Immune system,0.0454545,0.0485804
PTCRA,Plasmacytoid dendritic cells,0.004,protein-coding gene,Immune system,0.818182,0.000630915
ERN1,Plasmacytoid dendritic cells,0.002,protein-coding gene,Immune system,0.0909091,0.00536278
ETV6,Plasmacytoid dendritic cells,0.015,protein-coding gene,Immune system,0.181818,0.048265
MAP3K8,Plasmacytoid dendritic cells,0.014,protein-coding gene,Immune system,0.318182,0.0454259
FAM129C,Plasmacytoid dendritic cells,0.003,protein-coding gene,Immune system,0.636364,0.00347003
SPIB,Plasmacytoid dendritic cells,0.01,protein-coding gene,Immune system,0.5,0.00536278
GZMB,Plasmacytoid dendritic cells,0.017,protein-coding gene,Immune system,1.0,0.0539432
CXCR4,Plasmacytoid dendritic cells,0.04,protein-coding gene,Immune system,0.727273,0.194637
PACSIN1,Plasmacytoid dendritic cells,0.04,protein-coding gene,Immune system,0.0,0.0
TLR7,Plasmacytoid dendritic cells,0.001,protein-coding gene,Immune system,0.0,0.0
TLR9,Plasmacytoid dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.0
IRF7,Plasmacytoid dendritic cells,0.033,protein-coding gene,Immune system,1.0,0.0217666
IRF8,Plasmacytoid dendritic cells,0.069,protein-coding gene,Immune system,1.0,0.0205047
IGLL1,Plasmacytoid dendritic cells,0.007,protein-coding gene,Immune system,0.0,0.0356467
CUX2,Plasmacytoid dendritic cells,0.024,protein-coding gene,Immune system,0.0,0.0
MCTP2,Plasmacytoid dendritic cells,0.001,protein-coding gene,Immune system,0.0,0.000315457
KLK1,Plasmacytoid dendritic cells,0.013,protein-coding gene,Immune system,0.0,0.00820189
BLNK,Plasmacytoid dendritic cells,0.017,protein-coding gene,Immune system,0.0,0.000630915
GRM8,Plasmacytoid dendritic cells,0.002,protein-coding gene,Immune system,0.0,0.00410095
PRKCA,Plasmacytoid dendritic cells,0.033,protein-coding gene,Immune system,0.0,0.0154574
CDH1,Plasmacytoid dendritic cells,0.056,protein-coding gene,Immune system,0.0,0.0419558
IL17RB,Plasmacytoid dendritic cells,0.001,protein-coding gene,Immune system,0.0,0.000315457
CARD6,Plasmacytoid dendritic cells,0.0,protein-coding gene,Immune system,0.0,0.000315457
CLEC4G,Plasmacytoid dendritic cells,0.001,protein-coding gene,Immune system,0.0,0.000315457
S100A8,Plasmacytoid dendritic cells,0.064,protein-coding gene,Immune system,0.272727,0.0785489
JCHAIN,Plasmacytoid dendritic cells,0.017,protein-coding gene,Immune system,1.0,0.0429022
SERPINF1,Plasmacytoid dendritic cells,0.057,protein-coding gene,Immune system,1.0,0.0996845
